date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:54	68875/68875	---M--	200	added ('OK')	application/octet-stream	etag:%2257645dba-10d0b%22	http://placement.iiitb.ac.in/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/fonts/fontawesome-webfontd41d.eot	(from http://placement.iiitb.ac.in/assets/css/font-awesome.min.css)
19:18:05	64464/64464	---M--	200	added ('OK')	application/octet-stream	etag:%2257645dba-fbd0%22	http://placement.iiitb.ac.in/assets/fonts/fontawesome-webfont.woff2?v=4.4.0	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/fonts/fontawesome-webfont93e3.woff2	(from http://placement.iiitb.ac.in/assets/css/font-awesome.min.css)
19:18:18	81284/81284	---M--	200	added ('OK')	application/octet-stream	etag:%2257645dba-13d84%22	http://placement.iiitb.ac.in/assets/fonts/fontawesome-webfont.woff?v=4.4.0	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/fonts/fontawesome-webfont93e3.woff	(from http://placement.iiitb.ac.in/assets/css/font-awesome.min.css)
19:18:41	138204/138204	---M--	200	added ('OK')	application/octet-stream	etag:%2257645dba-21bdc%22	http://placement.iiitb.ac.in/assets/fonts/fontawesome-webfont.ttf?v=4.4.0	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/fonts/fontawesome-webfont93e3.ttf	(from http://placement.iiitb.ac.in/assets/css/font-awesome.min.css)
19:18:47	355981/355981	---M--	200	added ('OK')	image/svg+xml	etag:%2257645dba-56e8d%22	http://placement.iiitb.ac.in/assets/fonts/fontawesome-webfont.svg?v=4.4.0	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/fonts/fontawesome-webfont93e3.svg	(from http://placement.iiitb.ac.in/assets/css/font-awesome.min.css)
19:23:17	3744104/3744104	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2257645da7-392168%22	http://placement.iiitb.ac.in/images/achievements/kandy.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/achievements/kandy.jpg	(from http://placement.iiitb.ac.in/)
19:29:50	5746117/5746117	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2257645da3-57adc5%22	http://placement.iiitb.ac.in/images/hides.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/hides.jpg	(from http://placement.iiitb.ac.in/mtechIT.html)
19:29:51	177/177	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202017%2013:59:08%20GMT	http://placement.iiitb.ac.in/images/pic08.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/pic08.65.delayed	(from http://placement.iiitb.ac.in/comp_sci.html)
19:31:14	3775842/3775842	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2257645da4-399d62%22	http://placement.iiitb.ac.in/images/placecom.JPG	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/placecom.jpg	(from http://placement.iiitb.ac.in/)
19:31:24	9154439/9154439	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2257645db4-8baf87%22	http://placement.iiitb.ac.in/images/infra/1.JPG	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/infra/1.jpg	(from http://placement.iiitb.ac.in/)
19:32:41	9106000/9106000	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2257645daf-8af250%22	http://placement.iiitb.ac.in/images/infra/3.JPG	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/infra/3.jpg	(from http://placement.iiitb.ac.in/)
19:33:55	5075679/5075679	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2257645da9-4d72df%22	http://placement.iiitb.ac.in/images/infra/2.JPG	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/infra/2.jpg	(from http://placement.iiitb.ac.in/)
19:34:42	6265527/6265527	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2257645db6-5f9ab7%22	http://placement.iiitb.ac.in/images/ceems.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/ceems.jpg	(from http://placement.iiitb.ac.in/mtechIT.html)
19:35:14	5737706/5737706	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2257645db1-578cea%22	http://placement.iiitb.ac.in/images/infra/7.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/infra/7.jpg	(from http://placement.iiitb.ac.in/)
